feature,model,out,mean_abs_impact,feat_shap_corr,feat_shap_spear,feat_shap_corr_org,rank
coag_sp2_fm1_co,LR,se36_mean_pt1_sleep,0.24010968304536404,-0.9960791405503598,-0.9939039626140869,-0.9960791405503598,8
HFP_sp1_pt1_cardio,LR,se36_mean_pt1_sleep,0.23832728593664287,-0.9650733478377012,-0.9836054280163333,-0.9650733478377012,9
HFP_sp2_pt1_cardio,LR,se36_mean_pt1_sleep,0.21260856784585205,0.986402261328398,0.9908912969235442,0.986402261328398,10
HFP_p_fm1_cardio,LR,se36_mean_pt1_sleep,0.21183027017516648,0.9835974936747324,0.9859413585278579,0.9835974936747324,11
PC4,LR,se36_mean_pt1_sleep,0.1755567811889905,-0.3858186986737414,-0.3229856702339924,-0.3858186986737414,12
HFP_b_fm1_cardio,LR,se36_mean_pt1_sleep,0.14460705249977773,-0.9325362048419561,-0.9471258054784897,-0.9325362048419561,13
PC3,LR,se36_mean_pt1_sleep,0.142916776359996,0.986015396414988,0.991275167785235,0.986015396414988,14
PC6,LR,se36_mean_pt1_sleep,0.11605565391922253,0.9592022371226183,0.9642300018138945,0.9592022371226183,15
gamma_sp1_pt1_clo,LR,se36_mean_pt1_sleep,0.11484589126216888,0.9808369590990966,0.975028481438384,0.9808369590990966,16
gamma_sp1_fm1_clo,LR,se36_mean_pt1_sleep,0.11029125386448925,-0.9873550971479472,-0.9887119711403554,-0.9873550971479472,17
PC7,LR,se36_mean_pt1_sleep,0.09394439336876327,0.6291784951349324,0.6694431344095775,0.6291784951349324,18
PC19,LR,se36_mean_pt1_sleep,0.09296922000746859,-0.566581706759558,-0.5289606384908399,-0.566581706759558,19
PC1,LR,se36_mean_pt1_sleep,0.08649806117995269,-0.9444545730876425,-0.9098375746762083,-0.9444545730876425,20
HFP_sp1_fm1_cardio,LR,se36_mean_pt1_sleep,0.08461536263160735,-0.92712932052589,-0.9448855801240953,-0.92712932052589,21
PC9,LR,se36_mean_pt1_sleep,0.07933524952466141,0.8677122223573144,0.8736731362234718,0.8677122223573144,22
PC14,LR,se36_mean_pt1_sleep,0.07323594414214292,-0.8961940781995291,-0.9029493923453656,-0.8961940781995291,23
HFP_r_fm1_mean_cardio,LR,se36_mean_pt1_sleep,0.0727545191259368,-0.8483898837402157,-0.9068419739999668,-0.8483898837402157,24
